	Section	Mass	Depth	Width	Area	Thickness		Root	Depth	Radius for		Second Moment	
	Designation	per	of	of	of Section			Radius	between	Local Buckling		of Area	
	Serial Size	Metre	Section	Section		Web	Flange		Fillets	Flange	Web	Axis	Axis
												x-x	y-y
			D	B	A 	t	T	r	d	b / T	d / t		
		kg/m	mm	mm	cm2	mm	mm	mm	mm			cm4	cm4
UKB	305x127x42	419.0	307.2	124.3	53.4	8.0	12.1	8.9	265.2	4.07	33.2	8200	389
UKB	305x127x37	37.0	304.4	123.4	47.2	7.1	10.7	8.9	265.2	4.60	37.4	7170	336
UKB	305x102x33	32.8	312.7	102.4	41.8	6.6	10.8	7.6	275.9	3.73	41.8	6500	194
UKB	305x102x28	28.2	308.7	101.8	35.9	6.0	8.8	7.6	275.9	4.58	46.0	5370	155
UKB	305x102x25	24.8	305.1	101.6	31.6	5.8	7.0	7.6	275.9	5.76	47.6	4460	123
UKB	254x146x43	43.0	259.6	147.3	54.8	7.2	12.7	7.6	219.0	4.92	30.4	6540	677
UKB	254x146x37	37.0	256.0	146.4	47.2	6.3	10.9	7.6	219.0	5.73	34.8	5540	571
UKB	254x146x31	31.1	251.4	146.1	39.7	6.0	8.6	7.6	219.0	7.26	36.5	4410	448
UKB	254x102x28	28.3	260.4	102.2	36.1	6.3	10.0	7.6	225.2	4.04	35.7	4000	179
UKB	254x102x25	25.2	257.2	101.9	32.0	6.0	8.4	7.6	225.2	4.80	37.5	3410	149
UKB	254x102x22	22.0	254.0	101.6	28.0	5.7	6.8	7.6	225.2	5.93	39.5	2840	119
UKB	203x133x30	30.0	206.8	133.9	38.2	6.4	9.6	7.6	172.4	5.85	26.9	2900	385
UKB	203x133x25	25.1	203.2	133.2	32.0	5.7	7.8	7.6	172.4	7.20	30.2	2340	308
UKB	203x102x23	23.1	203.2	101.8	29.4	5.4	9.3	7.6	169.4	4.37	31.4	2100	164
UKB	178x102x19	19.0	177.8	101.2	24.3	4.8	7.9	7.6	146.8	5.14	30.6	1360	137
UKB	152x89x16	16.0	152.4	88.7	20.3	4.5	7.7	7.6	121.8	4.48	27.1	834	89.8
UKB	127x76x13	13.0	127.0	76.0	16.5	4.0	7.6	7.6	96.6	3.74	24.2	473	55.7
